odiNumber,dateComplaintFiled,make,model,modelYear,components,crash,fire,numberOfInjuries,numberOfDeaths,summary
11733944,04/27/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"My engine failed due to a known piston problem code P1327. The recall 203 was performed 7/1/22 which put in a sensor so the dealership said that Hyundai said they do not have to fix it because it is out of warranty at 141,000 miles and was manufactured in South Korea so they say it doesn't qualify for the extended warranty Recall 203 Dealer Best Practice Date: October 12, 2021 Subject: HMA Recall 203 – Nu 2.0L Atkinson Engine Inspection and Replacement - (TSB #21-01-054H-1) - Remedy Available v3"
11734191,04/27/2026,HYUNDAI,ELANTRA,2020,EXTERIOR LIGHTING,False,False,0,0,Unknown and about 4 months ago my headlights stopped working one would go out I’d replace the bulb then the other goes out then a different bulb in my headlight would go out I’d replace it and it would go out again then the connectors were unresponsive then my height beams won’t engage leaving me with little to no light in order to operate my vehicle at night and oddly enough they would disengage while driving leaving me visually impaired while driving
11733271,04/23/2026,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,ENGINE",False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated that the vehicle unexpectedly turned off while driving 25 MPH on a local road. The engine symbol was displayed. Additionally, the battery was drained. The vehicle was taken to an independent mechanic, and the battery was replaced three times. Additionally, the computer was replaced, and the contact was informed that the powertrain system had failed. The local dealer was contacted and confirmed that there was no extended warranty on the "
11731605,04/16/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,The check engine light came on at 101000 miles. I took it to the shop and the mechanic said there was no oil on the dipstick and he put in oil and said we need a new engine because it is knocking. We have noticed the vehicle has a rough idle now.
11729460,04/06/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"Said it needed a map sensor. I replaced it and it started acting g crazy. Dying at stop lights making weird noises. I finally threw cod P0011 so I bought the oil control valve before it arrived ny car died. It skipped 5 or 6 teeth. 3,900 left to pay on it. Im a single mom and need my car to provide [XXX]  [XXX]   INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)"
11729565,04/06/2026,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,ENGINE,FUEL/PROPULSION SYSTEM",False,False,0,0,"Within a matter of a few days my car has been stopping by itself. The car was smoking and stopping in the middle of the highway, my dealership is proving me with a new engine but is trying to have me come out of pocket for an fuel injector, please help !"
11728934,04/02/2026,HYUNDAI,ELANTRA,2020,"AIR BAGS,FORWARD COLLISION AVOIDANCE",True,False,0,0,"I no longer have this vehicle, as I traded it in once I was able to lower some of my negative equity. During owning the 2020 Hyundai Elantra, a deer it the side of my vehicle and knocked me into the center of the road while I was driving. No airbags had come out, nor was any sensor activated. About 6-8 months later, I was driving down the same road and a deer had run across the road. The forward collision sensor did not alert me (I was paying attention to the road, but would have absolutely hear"
11728629,04/01/2026,HYUNDAI,ELANTRA,2020,STEERING,False,False,0,0,"On January 1, 2025, I discovered my vehicle had been stolen after finding broken glass in my driveway and immediately reported the incident to the police, who arrived within approximately 20 minutes; neighbors later provided camera footage of the theft, and I also observed other nearby vehicles with similar damage, including a broken rear window and another Hyundai Elantra that appeared abandoned. The following day, police informed me the vehicle had been recovered, and upon inspection I found t"
11727946,03/30/2026,HYUNDAI,ELANTRA,2020,ENGINE AND ENGINE COOLING,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated that while driving at an undisclosed speed, there was a low rattling sound coming from the engine compartment. Upon checking the oil, the contact found the oil level was low and added approximately two quarts of oil. The contact stated that 2-quarts of oil were added monthly because the oil level and consistently low. However, there were no signs of an oil leak while the vehicle was parked. The vehicle was not diagnosed or repaired; how"
11727146,03/26/2026,HYUNDAI,ELANTRA,2020,"POWER TRAIN,ENGINE,FUEL/PROPULSION SYSTEM",False,False,0,0,"I see there was a P0420 error code related to catalytic converter oil consumption recall, but when I put in my VIN it said no recalls. This is for a 2020 Hyundai Elantra 2020. The problem comes and goes and was able to be reproduced or confirmed by a dealer Hyundai. The warning lamps, messages comes on frequently and was reportedly fixed charges $2000 for a sensor. I the code and it is all over the internet that it is a recall.but does not show up with VIN.i need assistance with getting this fix"
11724397,03/15/2026,HYUNDAI,ELANTRA,2020,ELECTRICAL SYSTEM,False,False,0,0,Headlight high beam do not work after 2 years. Regular lights work but when turning on the high beam the sign comes on but the high beam does not come on
11724072,03/13/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,burning/ oil/gas in oil/stalling/engine light on...open recall of other models of same car  not includin tghis one.seems to be same issue.
11722670,03/07/2026,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,BACK OVER PREVENTION,FORWARD COLLISION AVOIDANCE",False,False,0,0,"The headlights failed their soldered incorrectly. It looks like a child did it. The back camera has yet to work since shows black screen, and then the lane Assistant shuts off in the middle of the road and there’s nothing blocking it. lights went out and kept going out no matter how many times I replaced the bulb when I was on the highway. I took it into Firestone and they stated that the company fucked up the wiring system."
11720582,02/26/2026,HYUNDAI,ELANTRA,2020,UNKNOWN OR OTHER,False,False,0,0,"I took my car to McDonough Hyundai to get a transmission flush. 22 hrs later, the transmission died while my daughter was driving it. We had it towed back to the dealership and were told that they would not repair or replace the transmission they destroyed. I found out that my car is covered under Service Campaign 963 for the IVT transmission and they still won't fix my car and have been holding it hostage for about six months now. I've even lodged complaints with Hyundai Corporate and the BBB A"
11719235,02/19/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact received notification of NHTSA Campaign Number: 21V301000 (ENGINE). While driving at an undisclosed speed, the check engine warning light illuminated, and the vehicle was pulled over to the side of the road. The vehicle was towed to the residence. The contact then towed the vehicle to the dealer, where it was diagnosed with piston oil rings failure, and it was determined that the engine needed to be replaced. The dealer informed the contact th"
11718016,02/14/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,My car just lost all power and stopped on the side of the road after making a weird noise under the hood
11715080,02/02/2026,HYUNDAI,ELANTRA,2020,EXTERIOR LIGHTING,False,False,0,0,"The manufacturer's Executive Case Management has ceased communication after verifying a total headlight failure. Despite providing evidence that the vehicle is grounded 150+ miles from home during a snowstorm, Hyundai is refusing to authorize the remedy outlined in TSB 20-BE-004H. This non-responsiveness to a verified safety hazard (Invoice #XXX) is actively endangering the driver and the public.  INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)"
11713238,01/25/2026,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,EXTERIOR LIGHTING",False,False,0,0,"The headlights still cannot be used on high beam as the lights strobe when used. This was complaint was previously submitted with the same Vin#. This is dangerous for driver and others, including oncoming traffic. The local Hyundai dealer said it is would be $200+ for them to diagnostic and if they fixed it, the diagnostic fee would be credited toward the repair. How can this not be coved under a recall when it is clearly a safety issue and many mentions on line with others having the same probl"
11713154,01/24/2026,HYUNDAI,ELANTRA,2020,EXTERIOR LIGHTING,False,False,0,0,"The vehicle suffered a total, simultaneous failure of both low-beam and high-beam headlights due to a known manufacturer defect involving internal wiring and melted pigtail sockets. This matches the failure pattern described in Hyundai TSB 20-BE-004H and Service Campaign T5G (TSB 21-01-004H). ​On January 22, 2026, Robert Woodall Hyundai (Danville, VA) inspected the vehicle and confirmed on Invoice #[XXX] that ""BOTH HEADLIGHTS ARE INOP"". Despite this verification and the presence of technical bul"
11712310,01/21/2026,HYUNDAI,ELANTRA,2020,EXTERIOR LIGHTING,False,False,0,0,"Vehicle has ongoing issues with headlights prior to purchasing, they claim to have repaired & satisfied recall, however, they replaced headlights with the same faulty part the replacement lights are the same, with same issues, no high beams  they have a steel rod operating a plastic gear that operates a shutter to dim & operates high beam. The problem is with the heat of halogens the rod gets hot and melts the gear connection rendering the shutter inoperable so as it is , we get a year and a hal"
11712293,01/20/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"This vehicle’s engine failed on 10/25/21. This was 2 months after it was purchased. When we tried to have a Hyundai dealership diagnose the car, they said it would be an extended amount of time before the could look at it. When they finally did, they said it was not eligible for the warranty or recall relief.  I reached out to the Hyundai corporate office and received no assistance. They tried to say it was due to no drain plug.  It was recommended that we take it to another dealership who said "
11710221,01/11/2026,HYUNDAI,ELANTRA,2020,STRUCTURE,False,False,0,0,Paint is peeling off vehicle.
11709281,01/06/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,Engine is stalling and consuming oil at a higher then normal rate. Knock sensor is having issues at 24k miles both part of recall campaign 974 and recall 203. Took the auto to dealer for service and was told Hyundai would not honor the recall due to a branded title which now puts me in a scenario of possibly engine stall in the middle of highway traffic.
11707760,12/30/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,Reporting motor has a cold start ticking sound coming from the motor.
11707780,12/30/2025,HYUNDAI,ELANTRA,2020,POWER TRAIN,False,False,0,0,"Was driving car after a recent oil change. The oil change was performed early because the car was ticking and found oil to be low. Was going to take into dealer to be looked into but the car made a loud sound and stopped immediately and turned off. Luckily I was not driving too fast but had I been this could have posed a risk to myself, my passengers and other drivers. This complaint is consistent with prior engine failure complains of other Hyundai models.  The Elantra has yet to be investigate"
11704643,12/12/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"Subject: Abnormal Engine Failure – Hyundai Case #[XXX] I am filing this complaint regarding my Hyundai vehicle, which suffered catastrophic engine failure at approximately 150,000 miles. While the vehicle is outside the standard warranty, this type of failure is not consistent with normal use or expected durability. Hyundai Motor America has acknowledged receipt of my certified demand letter (Case #[XXX]) but has refused to provide coverage, instead directing me to pay for towing and diagnostic "
11704779,12/12/2025,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,EXTERIOR LIGHTING",False,False,0,0,"The head lights will not go into high beam mode.  When the high beams are turned on, they initiate and then flicker back and forth from on and off and will not remain on.  This happens simultaneously with both lights.  It appears to be a electrically issue with the high beam setting and the current not remaining constant.  I have taken it to two different shops and they said it is a common with this car and to check for a recall because they have had others that had the same issued recalled.   M"
11704783,12/12/2025,HYUNDAI,ELANTRA,2020,STEERING,False,False,0,0,"There is a grinding in my steering column, worse at lower speeds.   I have spoke to Hyundai about this and several other shops and they said this is a common recall for Elantras and there is a barring that is in the recall.  However, my VIN is not in this common recall.   If this is a common recall on Elantras in my year range,  wouldn't ALL Elantras have the option to have to corrected not just a select few?  Per Hyundai dealership,  They know exactly what it is and it should be on a recall lis"
11704321,12/10/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,my engine started to make a horrible noise and the car won’t start anymore. Hyundai engines are known to burn oil and don’t light the low oil dash light until it is too late.  Other Elantra trims have a recall for Hyundai to fix this yet mine does not.
11703391,12/06/2025,HYUNDAI,ELANTRA,2020,EXTERIOR LIGHTING,False,False,0,0,"I got this car right at the beginning of 2020, I didn’t even KNOW HOW to use my high beams until 2-3 years in. I used them all of 4-6 times and they magically stopped working. I don’t need them often so I didn’t notice right away. I’ve known for a while now but didn’t know I could submit a form like this. And no way in hell am I paying that much money for something that broke after a few uses. I’ve heard this is very common for my car make and model; I can hear the doors of the light trying to s"
11701387,11/25/2025,HYUNDAI,ELANTRA,2020,"VEHICLE SPEED CONTROL,ENGINE,FORWARD COLLISION AVOIDANCE",False,False,0,0,"Cruise control on 55mph, car has slowed down going straight no uphill or downhill and accelerator did not work nothing blocking the accelerator. Had to pull over to a shoulder to shut engine off and on to drive. Tapping cruise control up to speed up in regulated area such as from 55 to a 65mph zone.. cruise control speed lowered. Attempting to speed up with accelerator still only slowing down. 3 times this year I had to change spark plugs within a 6 month period  Error code p0302. Replaced batte"
11701279,11/24/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"At around the 120K mile odometer reading check engine light came on and upon checking the oil, noticed it was 1/2 qt. down in spite of a recent oil change. There were no other issues apparent to our mechanic. At the next oil change, we asked the techs to be sure to tighten the oil pan and all components as we mentioned the drop in oil after the previous oil change. This time, only 10 days after the oil change (we have been using hybrid blend since purchasing the vehicle new), the check engine li"
11692251,10/09/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,The vehicle is burning the engine oil. I get regular oil changes on time. I was told by the service center I had low oil at an oil change. It was changed and then again it a few months later I burned through the oil again. I checked it and there was very little oil. There is no leak. It is just burning it.
11690688,10/01/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,2020 Elantra built in Alabama with 2.0L engine has P0016 code and severe oil sludge at 73K miles - identical to Recall 21V301 symptoms but excluded because manufactured in Alabama not Korea. This appears to be the same defect affecting a different production batch.
11688718,09/21/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,True,0,0,Engine blew up on the highway almost causing an accident. The car has had problems with rapid oil consumption since 20000 miles on the car. Always checked oil everyday and added oil when needed and regular oil changes every 3000 miles car was very well taken care of. No oil light or check engine light came on when the engine blew up.
11688132,09/18/2025,HYUNDAI,ELANTRA,2020,"SERVICE BRAKES, HYDRAULIC,ENGINE",False,False,0,0,"The contact's mother owns a 2020 Hyundai Elantra. The contact was informed that the vehicle occasionally stalled without warning and would be immediately restarted to continue driving. Additionally, the vehicle would hesitate before slowly accelerating. The contact stated that there was a knocking sound coming from the vehicle at start-up, with a constant ticking sound coming from the engine compartment. The check engine warning light was illuminated. There were signs of an oil leak, and the oil"
11686593,09/11/2025,HYUNDAI,ELANTRA,2020,ELECTRICAL SYSTEM,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated that while his son was driving at an undisclosed speed, the Lane Assist safety feature failed to function as intended. The messages “Forward Collision Avoidance”, and “Lane Assist Camera Disabled” were displayed. The vehicle was taken to a local dealer, where it was diagnosed, and determined that the Forward Collision Avoidance and Lane Assist Camera needed to be replaced. The vehicle was not repaired because the warranty was invalid. T"
11686594,09/11/2025,HYUNDAI,ELANTRA,2020,POWER TRAIN,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated that occasionally, while driving at various speeds, the transmission was slipping. The contact stated that while attempting to accelerate from a stop, the transmission was slipping, with the check engine warning light illuminated. The vehicle was towed to a local dealer, where it was diagnosed, and the contact was informed that the failure could not be duplicated and that no fault was found with the vehicle; however, metal shavings were"
11686022,09/09/2025,HYUNDAI,ELANTRA,2020,STEERING,False,False,0,0,THE MOST  CAR HUNDIA ANTRA 2020 HAS ONLY 75000MILES NEED TO REPLACE SOMTHING IN STEERING WHEEL  HAS COMMON ISSUE  STERING WHEEL TRUN IS VARY DENGRES ISSUE UNTILL NOW IS NO RECALL DID CALL HUNDIA COORPRAT OFFICE ABOUT THIS ISSUE IS NO ANSWER   IS VARY DENGRES ISSUE CAN LED TO BIG ACCDENT
11685525,09/07/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"I am writing to formally file a safety complaint regarding my 2020 Hyundai Elantra. I recently learned that Hyundai issued a recall related to a defect that poses a risk of engine fires in certain vehicles. However, my vehicle, which has exhibited the same dangerous symptoms, was not included in this recall campaign.  Specifically, my vehicle has experienced a critical error relating to a defect included in NHTSA Recall #21V-301, which I understand is directly related to the safety defect identi"
11682134,08/21/2025,HYUNDAI,ELANTRA,2020,UNKNOWN OR OTHER,False,False,0,0,"Bought with 63000. Miles,  have driven 40000 miles.  Engine seized.  Will not Start.  Told by mechanic that engine is dead and happens frequently with this car.  What are my options?. ALL UPKEEPS PERFORMED.  NO WARNING."
11681940,08/20/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,Spun bearing in engine. All service on vehicle up to date.
11678338,08/04/2025,HYUNDAI,ELANTRA,2020,"SERVICE BRAKES,ENGINE,FORWARD COLLISION AVOIDANCE",False,False,0,0,I have taken my car in twice due to my car braking when there is not a vehicle and or object in front of me but there are vehicles right behind me that have to brake but Crain denies that there are any issues.  My engine light came on a couple of weeks ago and I took it to Auto Zone to have a diagnostic test done. The report states that it has something wrong with the transmission/transmission line and or fluid. When I looked it up online it stated that there are recalls on engine pistons that c
11677141,07/30/2025,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,EXTERIOR LIGHTING",False,False,0,0,"Both headlights bulbs  needed to be replaced several times. Passenger replacement bulb 3 times. Drivers side twice. I have sent Hyundai several emails and have not heard back from them. case # [XXX]  INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)"
11677110,07/29/2025,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER",False,False,0,0,The backup camera no longer works. The screen remains blank or turns blue.
11676006,07/24/2025,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,EXTERIOR LIGHTING",False,False,0,0,NO INCIDENT - HIGH BEAMS INOP.
11670335,06/30/2025,HYUNDAI,ELANTRA,2020,"FUEL SYSTEM, DIESEL",False,False,0,0,Fuel pump keeps on failing I replaced it 3 time.
11669221,06/25/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated that while attempting to turn at approximately 5 MPH, the traction control warning light illuminated. The contact pulled over to the shoulder of the road and restarted the vehicle; however, the vehicle failed to accelerate as intended while the accelerator pedal was depressed. The check engine warning light was illuminated. The vehicle was towed to a local independent mechanic, where it was diagnosed with excessive oil consumption, cata"
11667508,06/17/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated that while driving at an undisclosed speed, the vehicle hesitated and lost automotive power. No warning lights were illuminated. The local dealer was contacted; however, the vehicle was not diagnosed or repaired. The contact stated that an appointment with the dealer was scheduled to inspect the vehicle. The manufacturer was not made aware of the failure. The failure mileage was approximately 68,000."
11663120,05/27/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"Engine timing chains are failing in a direct result from recall campaign ID 21V301000 Piston ring noise sensing system which contaminated my oil accelerating wear on my engine chain and sprockets. A failed or ineffective piston ring noise sensing system can let piston/ring damage go unchecked, leading to oil contamination, which in turn wears out or destroys the timing chain system."
11652902,04/05/2025,HYUNDAI,ELANTRA,2020,UNKNOWN OR OTHER,False,False,0,0,"My name is [XXX] , and I am the owner of a 2020 Hyundai Elantra SE with approximately 93,000 miles (VIN: [XXX] ). I am writing to express my concern regarding the safety and security of my vehicle, particularly due to the increasing reports of thefts involving similar Hyundai models.  As a student, my vehicle is essential for my daily commute and responsibilities. The ongoing theft issues have made me feel very anxious, and I am unsure of the steps I should take to ensure the safety of my car. I"
11649961,03/23/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"I experienced engine failure with this make and model out of no where. Seen online recalls in the past for same make, year, and model. Dealership and and corporate are not helping me one bit, threatening to charge me for storage, lied about my corporate case being denied, when I have email evidence it was still open, and now zero contact back from Hyundai corporation. I'm trying to seek legal advice and would love any help moving forward struggling gravelly from all of this. Thank you so much"
11649056,03/18/2025,HYUNDAI,ELANTRA,2020,ELECTRICAL SYSTEM,False,False,0,0,"Vehicle had several non-starts. I took it to the dealer a couple of times and they could not duplicate the problem. This problem continued for a couple years before I took it to an independent mechanic. Said mechanic put it on a lift and found a loose power cable barely connected to the starter. Luckily this never caused a short, spark, or fire. From my searching online it appears this is a non-infrequent issue with Hyundai's."
11648182,03/13/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact assisted in jumpstarting another vehicle with battery failure. The contact stated that the vehicle failed to start the next day after several attempts. There was no warning light illuminated. The contact stated that the TPMS warning light had been illuminated prior to the failure. Due to the failure, the vehicle was towed to two separate independent mechanics who informed the contact that the engine had failed. The dealer was notified of the f"
11647678,03/11/2025,HYUNDAI,ELANTRA,2020,"ELECTRICAL SYSTEM,EXTERIOR LIGHTING",False,False,0,0,driver side brake light went out I did have it repaired right away since I knew it was a safety hazard for anyone behind me.  And sometimes I do see the same model on the road with the same issue. I don't think the running light is a safety issue but also have a problem with that going out also.
11647076,03/07/2025,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,Burning oil at any unacceptable rate. I have made sure to have preventative maintenance and oil changes done every 3K miles. Hyundai needs to address this problem that appears to be plaguing many drivers.
11643090,02/17/2025,HYUNDAI,ELANTRA,2020,POWER TRAIN,False,False,0,0,"Vehicle was recently purchased and brought in to service recall 22-01-030H (TCU Update and IVT Replacement)  Fred Bean Hyundai of Langhorne (1106 E Lincoln Highway, Langhorne, PA, 19047) did the software update, but refuses to honor the IVT replacement as part of the recall, despite the transmission not working and needing to be towed to the dealership. They are attempting to charge me a minimum $5000 to replace the transmission, despite the replacement being covered under this recall campaign. "
11641636,02/10/2025,HYUNDAI,ELANTRA,2020,POWER TRAIN,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated that while driving at various speeds, the RPM elevated to a high level while depressing the accelerator pedal. There was no warning light illuminated. The failure persisted while depressing the accelerator pedal without a warning light being illuminated. The contact used a code reader to diagnose the vehicle; however, no fault codes were found. The vehicle was taken to a dealer and was diagnosed with transmission failure. The vehicle re"
11641249,02/07/2025,HYUNDAI,ELANTRA,2020,EXTERIOR LIGHTING,False,False,0,0,"The highbeam is not working, also lowbeam is poor. Also I can not use the car in the night. The Hyundai Customer services is can not help. I said they have campaign to fix the highbeam. TSB number is 20-01-011H"
11638352,01/24/2025,HYUNDAI,ELANTRA,2020,SERVICE BRAKES,False,False,0,0,PLEASE SEE UPLOADED (PDF) FILES
11635606,01/13/2025,HYUNDAI,ELANTRA,2020,EXTERIOR LIGHTING,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated while driving approximately 30 MPH at night, the high beam headlight became inoperable. The contact stated that the high beam on the sign was illuminated on the instrument panel. The contact had taken the vehicle to a dealer who diagnosed that the high beam headlights had failed due to a shutter in the headlight housing that opened and closed while needed. The contact was informed that the headlamp housing needed to be replaced. The veh"
11634256,01/06/2025,HYUNDAI,ELANTRA,2020,"WHEELS,UNKNOWN OR OTHER,SERVICE BRAKES",False,False,0,0,Every time I go up a hill the slippery road light comes up. It’s hard to drive straight. I have to drive under the speed limit going up hills. Sometimes it won’t even let me park. I hear rattling when I drive over a certain speed limit. When I brake I feel the brake pad pushing back. And now my wheels are making noise when I turn them.
11633328,12/31/2024,HYUNDAI,ELANTRA,2020,"POWER TRAIN,ENGINE",False,False,0,0,transmission failed while driving & now doesn’t drive.
11631825,12/20/2024,HYUNDAI,ELANTRA,2020,"ENGINE,FUEL/PROPULSION SYSTEM",False,False,0,0,"Engine stalled out, oil light and engine repair light both on, call will not turn over"
11631902,12/20/2024,HYUNDAI,ELANTRA,2020,AIR BAGS,True,False,1,0,"On [XXX] at about 1:40 p.m. I was driving to work, and got distracted and had a front-end collision with a tree that was about 1-3 feet next to the side of the road. Extensive damage to the vehicle, and personal injuries occurred (mild concussion, stress fracture of left forearm, bruising/abrasion on ride side torso, sprained left thumb, and abrasions on head). Both the driver and passenger airbags did not deploy which contributed to me almost flying through the windshield. The emergency respond"
11629052,12/05/2024,HYUNDAI,ELANTRA,2020,EXTERIOR LIGHTING,False,False,0,0,"The high beam shutter that switches from high to low is not working. The car has 68,000 and I don't think this is something that should not work at that low mileage considering it is not in use all the time. I just dont see how it stops working all of a sudden when most of the time drivers do not use their high beams everyday. I just got inspected because its required in our state and both mechanics confirmed this problem. We bought a new bulb and that is when we found out the problem."
